user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11
ravenicholson,11,0.799257,1.618913,0.598681,0.797697,5,0.001008,0.002544,0.001724,0.019955,0.000910,0.598681,0.001167,0.199016,0.001158,0.013257,0.001695,0.158886
kristyanann,1,0.799188,1.553256,0.532152,0.902032,3,0.002569,0.002453,0.004391,0.532152,0.002318,0.056000,0.002973,0.017534,0.002948,0.002466,0.004316,0.369880
bigboysneed,7,0.799011,1.504979,0.731536,0.841823,5,0.015550,0.001166,0.044580,0.040152,0.001102,0.731536,0.006539,0.110287,0.001402,0.013575,0.002052,0.032059
taisiaavdeeva,8,0.798912,1.558133,0.542574,0.906757,5,0.001396,0.001333,0.002386,0.027578,0.012969,0.542574,0.001615,0.364183,0.001602,0.001340,0.028197,0.014827
inst_vets,3,0.797646,1.401822,0.771818,0.844931,5,0.005158,0.004926,0.044966,0.073113,0.004655,0.771818,0.005970,0.035237,0.005921,0.004951,0.008668,0.034617
milwaukeevoice,1,0.797414,1.540894,0.581443,0.910946,5,0.003845,0.003672,0.006573,0.329504,0.003470,0.581443,0.004450,0.026477,0.004413,0.003691,0.006461,0.026002
vasilichvasili,7,0.797285,1.620445,0.631890,0.856509,7,0.001796,0.007791,0.003071,0.007665,0.008536,0.224618,0.018948,0.631890,0.002062,0.009211,0.003019,0.081392
riafanru,1,0.797047,1.610944,0.623598,0.876908,4,0.002884,0.002754,0.253310,0.012304,0.623598,0.051943,0.003337,0.019626,0.003310,0.002768,0.004846,0.019321
sergeev_tolik,7,0.796715,1.505310,0.529777,0.925595,5,0.002377,0.002270,0.004064,0.010143,0.002145,0.529777,0.016877,0.395818,0.002729,0.002282,0.015531,0.015986
chernenkonikola,5,0.795934,1.675480,0.575021,0.849134,7,0.001224,0.001169,0.002093,0.081829,0.001105,0.274113,0.020886,0.575021,0.001405,0.001175,0.031715,0.008264
patriotka_rusi,3,0.795672,1.574419,0.486552,0.875481,7,0.001628,0.001555,0.002784,0.098061,0.001470,0.388928,0.001884,0.486552,0.001869,0.001563,0.002736,0.010970
maksblaginin,2,0.795452,1.653474,0.517747,0.852701,5,0.000855,0.000817,0.001462,0.092929,0.009855,0.517747,0.000990,0.334954,0.000982,0.000821,0.001437,0.037152
sovetnikstatski,5,0.794875,1.655874,0.580725,0.869939,5,0.001492,0.001424,0.002550,0.006365,0.040484,0.580725,0.014986,0.289213,0.001712,0.001432,0.009254,0.050363
jerstoner,5,0.794339,1.664985,0.547942,0.815122,5,0.001025,0.000979,0.015724,0.004376,0.000925,0.547942,0.001187,0.267181,0.001177,0.000984,0.014175,0.144326
pati_cooper,5,0.794302,1.613577,0.672963,0.797064,5,0.000788,0.000753,0.124100,0.026449,0.000711,0.672963,0.000912,0.027381,0.000905,0.000757,0.104801,0.039480
kolradskiy_zhuk,5,0.793562,1.603454,0.530186,0.897843,7,0.001807,0.001726,0.026995,0.007712,0.019708,0.367657,0.002091,0.530186,0.002074,0.001735,0.003037,0.035272
screamymonkey,27,0.793465,1.667268,0.621661,0.849881,7,0.002263,0.003650,0.015723,0.034295,0.001014,0.054683,0.001105,0.621661,0.002240,0.000581,0.034566,0.228221
cynthiamhunter,18,0.792708,1.531605,0.729707,0.832618,5,0.000496,0.000620,0.021965,0.003168,0.000447,0.729707,0.034434,0.102911,0.009747,0.029032,0.050570,0.016902
patriotblake,38,0.792136,1.655313,0.653082,0.847028,5,0.000786,0.001914,0.005482,0.011999,0.001750,0.653082,0.038891,0.054246,0.002244,0.013744,0.021915,0.193946
prettylaraplace,21,0.791497,1.615863,0.680529,0.785212,5,0.001033,0.000987,0.104683,0.015569,0.000932,0.680529,0.001823,0.103997,0.001186,0.000992,0.049136,0.039134
mrmoraan,10,0.791155,1.713730,0.594925,0.818014,5,0.029547,0.000812,0.005150,0.027383,0.000767,0.594925,0.000984,0.223090,0.006791,0.002374,0.001428,0.106750
chaneutral,2,0.788854,1.616723,0.679083,0.792925,7,0.002854,0.002725,0.004879,0.012176,0.002576,0.113841,0.003303,0.679083,0.003276,0.079590,0.004795,0.090902
_sashalapin,4,0.788553,1.605509,0.457330,0.868800,7,0.001551,0.001481,0.002652,0.006619,0.001400,0.411470,0.001795,0.457330,0.001781,0.008219,0.002607,0.103094
eliasbrick,14,0.788197,1.699019,0.580614,0.858758,5,0.004632,0.000818,0.004948,0.014591,0.011529,0.580614,0.021819,0.278144,0.012174,0.000822,0.001440,0.068469
detroitdailynew,21,0.788111,1.730833,0.606702,0.806663,7,0.008629,0.001216,0.002177,0.037917,0.001150,0.199962,0.001630,0.606702,0.001462,0.022313,0.006324,0.110518
gvardeykalena,6,0.787300,1.646012,0.521725,0.889523,5,0.002346,0.002241,0.034689,0.010012,0.002118,0.521725,0.002716,0.367798,0.002693,0.002252,0.035629,0.015780
beverlybalsom,1,0.786892,1.618603,0.564718,0.898645,5,0.003838,0.003666,0.006562,0.016382,0.333927,0.564718,0.004442,0.026141,0.004406,0.003684,0.006450,0.025784
